DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2015-04,100.28,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2015-05,100.45,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2015-06,100.40,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2015-07,99.89,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2015-08,99.73,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2015-09,100.25,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2015-10,100.35,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2015-11,100.32,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2015-12,100.95,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2016-01,99.85,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2016-02,99.76,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2016-03,100.82,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2016-04,100.93,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2016-05,101.04,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2016-06,101.04,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2016-07,100.49,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2016-08,100.33,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2016-09,101.33,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2016-10,101.72,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2016-11,101.79,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2016-12,102.55,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2017-01,101.91,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2017-02,102.13,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2017-03,102.94,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2017-04,103.27,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2017-05,103.21,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2017-06,103.06,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2017-07,102.47,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2017-08,102.46,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2017-09,103.90,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2017-10,104.12,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2017-11,104.27,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2017-12,104.94,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2018-01,103.86,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2018-02,104.12,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2018-03,105.05,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2018-04,105.29,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2018-05,105.40,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2018-06,105.46,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2018-07,104.83,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2018-08,104.82,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2018-09,106.11,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2018-10,106.62,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2018-11,106.64,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2018-12,106.74,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2019-01,105.62,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2019-02,105.61,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2019-03,106.81,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2019-04,107.12,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2019-05,107.18,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2019-06,107.11,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2019-07,106.26,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2019-08,106.34,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2019-09,107.42,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2019-10,107.72,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2019-11,107.92,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2019-12,108.69,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2020-01,107.91,
ESTAT:PRC_HICP_MIDX(1.0),31/05/22 11:00:00,M,I15,CP00,AT,2020-02,107.92,
