"MERITVE";"SKUPINE";"LETO";Indeksi cen življenjskih potrebšèin in letne stopnje rasti cen
"Letne stopnje rasti cen (%)";"10 Izobraževanje";"2014";0.7
"Letne stopnje rasti cen (%)";"10 Izobraževanje";"2015";0.0
"Letne stopnje rasti cen (%)";"10 Izobraževanje";"2016";0.3
"Letne stopnje rasti cen (%)";"10 Izobraževanje";"2017";3.7
"Letne stopnje rasti cen (%)";"10 Izobraževanje";"2018";1.7
"Letne stopnje rasti cen (%)";"10 Izobraževanje";"2019";5.6
"Letne stopnje rasti cen (%)";"10 Izobraževanje";"2020";0.7
"Letne stopnje rasti cen (%)";"10 Izobraževanje";"2021";0.5
"Letne stopnje rasti cen (%)";"11 Restavracije in hoteli";"2000";5.1
"Letne stopnje rasti cen (%)";"11 Restavracije in hoteli";"2001";7.6
"Letne stopnje rasti cen (%)";"11 Restavracije in hoteli";"2002";8.2
"Letne stopnje rasti cen (%)";"11 Restavracije in hoteli";"2003";6.6
"Letne stopnje rasti cen (%)";"11 Restavracije in hoteli";"2004";5.2
"Letne stopnje rasti cen (%)";"11 Restavracije in hoteli";"2005";3.9
"Letne stopnje rasti cen (%)";"11 Restavracije in hoteli";"2006";5.9
"Letne stopnje rasti cen (%)";"11 Restavracije in hoteli";"2007";8.6
"Letne stopnje rasti cen (%)";"11 Restavracije in hoteli";"2008";7.7
"Letne stopnje rasti cen (%)";"11 Restavracije in hoteli";"2009";2.6
"Letne stopnje rasti cen (%)";"11 Restavracije in hoteli";"2010";-11.1
"Letne stopnje rasti cen (%)";"11 Restavracije in hoteli";"2011";2.2
"Letne stopnje rasti cen (%)";"11 Restavracije in hoteli";"2012";9.3
"Letne stopnje rasti cen (%)";"11 Restavracije in hoteli";"2013";1.4
"Letne stopnje rasti cen (%)";"11 Restavracije in hoteli";"2014";0.8
"Letne stopnje rasti cen (%)";"11 Restavracije in hoteli";"2015";1.4
"Letne stopnje rasti cen (%)";"11 Restavracije in hoteli";"2016";1.0
"Letne stopnje rasti cen (%)";"11 Restavracije in hoteli";"2017";1.6
"Letne stopnje rasti cen (%)";"11 Restavracije in hoteli";"2018";2.4
"Letne stopnje rasti cen (%)";"11 Restavracije in hoteli";"2019";3.2
"Letne stopnje rasti cen (%)";"11 Restavracije in hoteli";"2020";0.6
"Letne stopnje rasti cen (%)";"11 Restavracije in hoteli";"2021";6.1
"Letne stopnje rasti cen (%)";"12 Raznovrstno blago in storitve";"2000";6.1
"Letne stopnje rasti cen (%)";"12 Raznovrstno blago in storitve";"2001";9.3
"Letne stopnje rasti cen (%)";"12 Raznovrstno blago in storitve";"2002";8.1
"Letne stopnje rasti cen (%)";"12 Raznovrstno blago in storitve";"2003";4.3
"Letne stopnje rasti cen (%)";"12 Raznovrstno blago in storitve";"2004";2.6
"Letne stopnje rasti cen (%)";"12 Raznovrstno blago in storitve";"2005";2.5
"Letne stopnje rasti cen (%)";"12 Raznovrstno blago in storitve";"2006";5.0
"Letne stopnje rasti cen (%)";"12 Raznovrstno blago in storitve";"2007";3.6
"Letne stopnje rasti cen (%)";"12 Raznovrstno blago in storitve";"2008";3.4
"Letne stopnje rasti cen (%)";"12 Raznovrstno blago in storitve";"2009";3.6
"Letne stopnje rasti cen (%)";"12 Raznovrstno blago in storitve";"2010";0.6
"Letne stopnje rasti cen (%)";"12 Raznovrstno blago in storitve";"2011";2.8
"Letne stopnje rasti cen (%)";"12 Raznovrstno blago in storitve";"2012";2.4
"Letne stopnje rasti cen (%)";"12 Raznovrstno blago in storitve";"2013";-3.2
"Letne stopnje rasti cen (%)";"12 Raznovrstno blago in storitve";"2014";5.8
"Letne stopnje rasti cen (%)";"12 Raznovrstno blago in storitve";"2015";1.1
"Letne stopnje rasti cen (%)";"12 Raznovrstno blago in storitve";"2016";1.6
"Letne stopnje rasti cen (%)";"12 Raznovrstno blago in storitve";"2017";1.3
"Letne stopnje rasti cen (%)";"12 Raznovrstno blago in storitve";"2018";1.7
"Letne stopnje rasti cen (%)";"12 Raznovrstno blago in storitve";"2019";4.4
"Letne stopnje rasti cen (%)";"12 Raznovrstno blago in storitve";"2020";0.7
